player_name,ranking,date
Mario Tabares,164,1990-01-08
Magnus Larsson,165,1990-01-08
Roberto Arguello,166,1990-01-08
Jose-Luis Aparisi,167,1990-01-08
Chris Bailey,168,1990-01-08
Jonathan Canter,169,1990-01-08
Neil Broad,170,1990-01-08
Nick Brown,171,1990-01-08
Ricki Osterthun,172,1990-01-08
Danilo Marcelino,173,1990-01-08
Joao Cunha-Silva,174,1990-01-08
Sergio Casal,175,1990-01-08
Nicklas Utgren,176,1990-01-08
Philip Johnson,177,1990-01-08
Philippe Pech,178,1990-01-08
Peter Ballauff,179,1990-01-08
Fernando Roese,180,1990-01-08
Robbie Weiss,181,1990-01-08
Bart Wuyts,182,1990-01-08
Karsten Braasch,183,1990-01-08
Mauro Menezes,184,1990-01-08
Richard Vogel,185,1990-01-08
Peter Doohan,186,1990-01-08
Neil Borwick,187,1990-01-08
Bruce Derlin,188,1990-01-08
Bryan Shelton,189,1990-01-08
Nduka Odizor,190,1990-01-08
Paul Vojtischek,191,1990-01-08
David Engel,192,1990-01-08
Claudio Mezzadri,193,1990-01-08
Christian Miniussi,194,1990-01-08
Mark Kaplan,195,1990-01-08
Michael Robertson,196,1990-01-08
Francisco Yunis,197,1990-01-08
Olivier Soules,198,1990-01-08
Gabriel Markus,199,1990-01-08
Josef Cihak,200,1990-01-08
Ivan Lendl,1,1990-01-15
Boris Becker,2,1990-01-15
Stefan Edberg,3,1990-01-15
Brad Gilbert,4,1990-01-15
John McEnroe,5,1990-01-15
Michael Chang,6,1990-01-15
Aaron Krickstein,7,1990-01-15
Andre Agassi,8,1990-01-15
Jay Berger,9,1990-01-15
Alberto Mancini,10,1990-01-15
Martin Jaite,11,1990-01-15
Tim Mayotte,12,1990-01-15
Yannick Noah,13,1990-01-15
Carl-Uwe Steeb,14,1990-01-15
Mats Wilander,15,1990-01-15
Andrei Chesnokov,16,1990-01-15
Emilio Sanchez,17,1990-01-15
Andres Gomez,18,1990-01-15
Jimmy Connors,19,1990-01-15
Horst Skoff,20,1990-01-15
Kevin Curren,21,1990-01-15
Sergi Bruguera,22,1990-01-15
Jim Courier,23,1990-01-15
Thomas Muster,24,1990-01-15
Miloslav Mecir Sr.,25,1990-01-15
Jaime Yzaga,26,1990-01-15
Jan Gunnarsson,27,1990-01-15
Christo Van Rensburg,28,1990-01-15
Jakob Hlasek,29,1990-01-15
Goran Ivanisevic,30,1990-01-15
Guillermo Perez-Roldan,31,1990-01-15
Magnus Gustafsson,32,1990-01-15
Jim Grabb,33,1990-01-15
Jordi Arrese,34,1990-01-15
Paolo Cane,35,1990-01-15
Wally Masur,36,1990-01-15
Ronald Agenor,37,1990-01-15
Scott Davis,38,1990-01-15
Amos Mansdorf,39,1990-01-15
Marcelo Filippini,40,1990-01-15
Anders Jarryd,41,1990-01-15
Jonas Svensson,42,1990-01-15
Goran Prpic,43,1990-01-15
Luiz Mattar,44,1990-01-15
Javier Sanchez,45,1990-01-15
David Wheaton,46,1990-01-15
Darren Cahill,47,1990-01-15
Richey Reneberg,48,1990-01-15
Paul Chamberlin,49,1990-01-15
Paul Annacone,50,1990-01-15
Eric Jelen,51,1990-01-15
Jimmy Arias,52,1990-01-15
Kelly Evernden,53,1990-01-15
Omar Camporese,54,1990-01-15
Guy Forget,55,1990-01-15
Pete Sampras,56,1990-01-15
