url,tournament_name,tournament_date,number_players,indoor_outdoor,surface,prize_money,unique_tournament_id
/en/tournaments/sydney/338/overview,Sydney,1991.01.07,32,Outdoor,Hard,"$250,000",sydney//1991.01.07
/en/tournaments/auckland/301/overview,Auckland,1991.01.07,32,Outdoor,Hard,"$175,000",auckland//1991.01.07
/en/tournaments/australian-open/580/overview,Melbourne,1991.01.14,128,Outdoor,Hard,,melbourne//1991.01.14
/en/tournaments/milan/408/overview,Milan,1991.02.04,32,Indoor,Carpet,"$600,000",milan//1991.02.04
/en/tournaments/san-francisco/424/overview,San Francisco,1991.02.04,32,Indoor,Carpet,"$250,000",san francisco//1991.02.04
/en/tournaments/guaruja/201/overview,Guaruja,1991.02.04,32,Outdoor,Hard,"$150,000",guaruja//1991.02.04
/en/tournaments/philadelphia/401/overview,Philadelphia,1991.02.11,48,Indoor,Carpet,"$1,000,000",philadelphia//1991.02.11
/en/tournaments/brussels/406/overview,Brussels,1991.02.11,32,Indoor,Carpet,"$600,000",brussels//1991.02.11
/en/tournaments/memphis/402/overview,Memphis,1991.02.18,48,Indoor,Hard,"$750,000",memphis//1991.02.18
/en/tournaments/stuttgart/357/overview,Stuttgart,1991.02.18,32,Indoor,Carpet,"$1,000,000",stuttgart//1991.02.18
/en/tournaments/rotterdam/407/overview,Rotterdam,1991.02.25,32,Indoor,Carpet,"$500,000",rotterdam//1991.02.25
/en/tournaments/chicago/411/overview,Chicago,1991.02.25,32,Indoor,Carpet,"$250,000",chicago//1991.02.25
/en/tournaments/indian-wells/404/overview,Indian Wells,1991.03.04,56,Outdoor,Hard,"$1,000,000",indian wells//1991.03.04
/en/tournaments/copenhagen/481/overview,Copenhagen,1991.03.04,32,Indoor,Carpet,"$150,000",copenhagen//1991.03.04
/en/tournaments/miami/403/overview,Miami,1991.03.15,96,Outdoor,Hard,"$1,500,000",miami//1991.03.15
/en/tournaments/estoril/468/overview,Estoril,1991.04.01,32,Outdoor,Clay,"$375,000",estoril//1991.04.01
/en/tournaments/hong-kong/336/overview,Hong Kong,1991.04.01,32,Outdoor,Hard,"$260,000",hong kong//1991.04.01
/en/tournaments/orlando/409/overview,Orlando,1991.04.01,32,Outdoor,Hard,"$250,000",orlando//1991.04.01
/en/tournaments/tokyo/329/overview,Tokyo,1991.04.08,56,Outdoor,Hard,"$1,000,000",tokyo//1991.04.08
/en/tournaments/barcelona/425/overview,Barcelona,1991.04.08,56,Outdoor,Clay,"$650,000",barcelona//1991.04.08
/en/tournaments/nice/6120/overview,Nice,1991.04.15,32,Outdoor,Clay,"$250,000",nice//1991.04.15
/en/tournaments/seoul/434/overview,Seoul,1991.04.15,32,Outdoor,Hard,"$165,000",seoul//1991.04.15
/en/tournaments/monte-carlo/410/overview,Monte Carlo,1991.04.22,56,Outdoor,Clay,"$1,000,000",monte carlo//1991.04.22
/en/tournaments/singapore/456/overview,Singapore,1991.04.22,32,Outdoor,Hard,"$250,000",singapore//1991.04.22
/en/tournaments/munich/308/overview,Munich,1991.04.29,32,Outdoor,Clay,"$250,000",munich//1991.04.29
/en/tournaments/tampa/346/overview,Tampa,1991.04.29,32,Outdoor,Clay,"$250,000",tampa//1991.04.29
/en/tournaments/madrid/309/overview,Madrid,1991.04.29,32,Outdoor,Clay,"$500,000",madrid//1991.04.29
/en/tournaments/charlotte/717/overview,Charlotte,1991.05.06,32,Outdoor,Clay,"$250,000",charlotte//1991.05.06
/en/tournaments/hamburg/414/overview,Hamburg,1991.05.06,56,Outdoor,Clay,"$1,000,000",hamburg//1991.05.06
/en/tournaments/rome/416/overview,Rome,1991.05.13,64,Outdoor,Clay,"$1,280,000",rome//1991.05.13
/en/tournaments/umag/439/overview,Umag,1991.05.13,32,Outdoor,Clay,"$250,000",umag//1991.05.13
/en/tournaments/dusseldorf/615/overview,Dusseldorf,1991.05.20,32,Outdoor,Clay,"$1,277,500",dusseldorf//1991.05.20
/en/tournaments/bologna/312/overview,Bologna,1991.05.20,32,Outdoor,Clay,"$250,000",bologna//1991.05.20
/en/tournaments/roland-garros/520/overview,Paris,1991.05.27,128,Outdoor,Clay,,paris//1991.05.27
/en/tournaments/london/311/overview,London,1991.06.10,56,Outdoor,Grass,"$500,000",london//1991.06.10
/en/tournaments/florence/310/overview,Florence,1991.06.10,32,Outdoor,Clay,"$250,000",florence//1991.06.10
/en/tournaments/rosmalen/440/overview,Rosmalen,1991.06.10,32,Outdoor,Grass,"$250,000",rosmalen//1991.06.10
/en/tournaments/genoa/306/overview,Genoa,1991.06.17,32,Outdoor,Clay,"$250,000",genoa//1991.06.17
