url,tournament_name,tournament_date,number_players,indoor_outdoor,surface,prize_money
/en/tournaments/monte-carlo/410/overview,Monte Carlo,1991.04.22,56,Outdoor,Clay,"$1,000,000"
/en/tournaments/singapore/456/overview,Singapore,1991.04.22,32,Outdoor,Hard,"$250,000"
/en/tournaments/madrid/309/overview,Madrid,1991.04.29,32,Outdoor,Clay,"$500,000"
/en/tournaments/munich/308/overview,Munich,1991.04.29,32,Outdoor,Clay,"$250,000"
/en/tournaments/tampa/346/overview,Tampa,1991.04.29,32,Outdoor,Clay,"$250,000"
/en/tournaments/hamburg/414/overview,Hamburg,1991.05.06,56,Outdoor,Clay,"$1,000,000"
/en/tournaments/charlotte/717/overview,Charlotte,1991.05.06,32,Outdoor,Clay,"$250,000"
/en/tournaments/rome/416/overview,Rome,1991.05.13,64,Outdoor,Clay,"$1,280,000"
/en/tournaments/umag/439/overview,Umag,1991.05.13,32,Outdoor,Clay,"$250,000"
/en/tournaments/dusseldorf/615/overview,Dusseldorf,1991.05.20,32,Outdoor,Clay,"$1,277,500"
/en/tournaments/bologna/312/overview,Bologna,1991.05.20,32,Outdoor,Clay,"$250,000"
/en/tournaments/roland-garros/520/overview,Paris,1991.05.27,128,Outdoor,Clay,
/en/tournaments/london/311/overview,London,1991.06.10,56,Outdoor,Grass,"$500,000"
/en/tournaments/florence/310/overview,Florence,1991.06.10,32,Outdoor,Clay,"$250,000"
/en/tournaments/rosmalen/440/overview,Rosmalen,1991.06.10,32,Outdoor,Grass,"$250,000"
/en/tournaments/genoa/306/overview,Genoa,1991.06.17,32,Outdoor,Clay,"$250,000"
/en/tournaments/manchester/7310/overview,Manchester,1991.06.17,32,Outdoor,Grass,"$250,000"
/en/tournaments/wimbledon/540/overview,London,1991.06.24,128,Outdoor,Grass,
/en/tournaments/gstaad/314/overview,Gstaad,1991.07.08,32,Outdoor,Clay,"$305,000"
/en/tournaments/bastad/316/overview,Bastad,1991.07.08,32,Outdoor,Clay,"$250,000"
/en/tournaments/newport/315/overview,Newport,1991.07.08,32,Outdoor,Grass,"$175,000"
/en/tournaments/stuttgart/321/overview,Stuttgart,1991.07.15,48,Outdoor,Clay,"$1,000,000"
/en/tournaments/washington/418/overview,Washington,1991.07.15,56,Outdoor,Hard,"$550,000"
/en/tournaments/montreal/421/overview,Montreal,1991.07.22,56,Outdoor,Hard,"$1,200,000"
/en/tournaments/hilversum/317/overview,Hilversum,1991.07.22,32,Outdoor,Clay,"$250,000"
/en/tournaments/kitzbuhel/319/overview,Kitzbuhel,1991.07.29,48,Outdoor,Clay,"$375,000"
/en/tournaments/los-angeles/423/overview,Los Angeles,1991.07.29,32,Outdoor,Hard,"$250,000"
/en/tournaments/san-marino/475/overview,San Marino,1991.07.29,32,Outdoor,Clay,"$225,000"
/en/tournaments/cincinnati/422/overview,Cincinnati,1991.08.05,56,Outdoor,Hard,"$1,300,000"
/en/tournaments/prague/379/overview,Prague,1991.08.05,32,Outdoor,Clay,"$350,000"
/en/tournaments/indianapolis/419/overview,Indianapolis,1991.08.12,56,Outdoor,Hard,"$1,000,000"
/en/tournaments/new-haven/420/overview,New Haven,1991.08.12,56,Outdoor,Hard,"$1,000,000"
/en/tournaments/long-island/441/overview,Long Island,1991.08.19,32,Outdoor,Hard,"$250,000"
/en/tournaments/schenectady/224/overview,Schenectady,1991.08.19,32,Outdoor,Hard,"$150,000"
/en/tournaments/us-open/560/overview,New York,1991.08.26,128,Outdoor,Hard,
/en/tournaments/bordeaux/323/overview,Bordeaux,1991.09.09,32,Outdoor,Hard,"$300,000"
/en/tournaments/brasilia/463/overview,Brasilia,1991.09.09,48,Outdoor,Carpet,"$250,000"
/en/tournaments/geneva/322/overview,Geneva,1991.09.09,32,Outdoor,Clay,"$250,000"
/en/tournaments/basel/328/overview,Basel,1991.09.23,32,Indoor,Hard,"$750,000"
/en/tournaments/palermo/325/overview,Palermo,1991.09.23,32,Outdoor,Clay,"$300,000"
/en/tournaments/brisbane/326/overview,Brisbane,1991.09.23,32,Outdoor,Hard,"$250,000"
/en/tournaments/sydney/427/overview,Sydney,1991.09.30,48,Indoor,Hard,"$1,000,000"
/en/tournaments/toulouse/327/overview,Toulouse,1991.09.30,32,Indoor,Hard,"$300,000"
/en/tournaments/athens/367/overview,Athens,1991.09.30,32,Outdoor,Clay,"$150,000"
/en/tournaments/tokyo/428/overview,Tokyo,1991.10.07,48,Indoor,Carpet,"$1,000,000"
/en/tournaments/berlin/348/overview,Berlin,1991.10.07,32,Indoor,Carpet,"$300,000"
/en/tournaments/tel-aviv/330/overview,Tel Aviv,1991.10.07,32,Outdoor,Hard,"$150,000"
/en/tournaments/lyon/7309/overview,Lyon,1991.10.14,32,Indoor,Carpet,"$500,000"
/en/tournaments/vienna/337/overview,Vienna,1991.10.14,32,Indoor,Carpet,"$250,000"
/en/tournaments/stockholm/429/overview,Stockholm,1991.10.21,48,Indoor,Carpet,"$1,100,000"
/en/tournaments/guaruja/237/overview,Guaruja,1991.10.21,32,Outdoor,Hard,"$150,000"
/en/tournaments/paris/352/overview,Paris,1991.10.28,48,Indoor,Carpet,"$2,000,000"
/en/tournaments/buzios/215/overview,Buzios,1991.10.28,32,Outdoor,Hard,"$172,500"
/en/tournaments/birmingham/430/overview,Birmingham,1991.11.04,32,Indoor,Carpet,"$500,000"
/en/tournaments/moscow/438/overview,Moscow,1991.11.04,32,Indoor,Carpet,"$330,000"
/en/tournaments/sao-paulo/240/overview,Sao Paulo,1991.11.04,32,Outdoor,Hard,"$275,000"
/en/tournaments/atp-tour-world-championship/605/overview,,1991.11.12,8,Indoor,Carpet,"$2,250,000"
/en/tournaments/atp-tour-world-doubles-championship/602/overview,Johannesburg,1991.11.20,0,Indoor,Hard,"$1,000,000"
