Player Name,Turned Pro,Plays,height,weight (lbs),Birthdate
wayne-odesnik,2004,"Left-Handed,Two-HandedBackhand",(180cm),170,(1985.11.21)
nick-kyrgios,2013,"Right-Handed,Two-HandedBackhand",(193cm),187,(1995.04.27)
gilles-muller,2001,"Left-Handed,Two-HandedBackhand",(193cm),196,(1983.05.09)
joao-souza,2006,"Right-Handed,Two-HandedBackhand",(193cm),203,(1988.05.27)
grigor-dimitrov,2008,"Right-Handed,One-HandedBackhand",(191cm),179,(1991.05.16)
stan-wawrinka,2002,"Right-Handed,One-HandedBackhand",(183cm),179,(1985.03.28)
carlos-berlocq,2001,"Right-Handed,One-HandedBackhand",(183cm),178,(1983.02.03)
bradley-klahn,2012,"Left-Handed,Two-HandedBackhand",(183cm),165,(1990.08.20)
hyeon-chung,2014,"Right-Handed,Two-HandedBackhand",(188cm),196,(1996.05.19)
radu-albot,2008,"Right-Handed,Two-HandedBackhand",(175cm),152,(1989.11.11)
denys-molchanov,"
","Right-Handed,Two-HandedBackhand",(188cm),187,(1987.05.16)
aljaz-bedene,2008,"Right-Handed,Two-HandedBackhand",(183cm),161,(1989.07.18)
andreas-haider-maurer,2005,"Right-Handed,Two-HandedBackhand",(191cm),196,(1987.03.22)
andreas-seppi,2002,"Right-Handed,Two-HandedBackhand",(191cm),172,(1984.02.21)
kei-nishikori,2007,"Right-Handed,Two-HandedBackhand",(178cm),161,(1989.12.29)
joao-sousa,2008,"Right-Handed,Two-HandedBackhand",(185cm),163,(1989.03.30)
ze-zhang,2008,"Right-Handed,Two-HandedBackhand",(188cm),187,(1990.07.04)
igor-sijsling,2006,"Right-Handed,One-HandedBackhand",(191cm),187,(1987.08.18)
alex-kuznetsov,2004,"Right-Handed,Two-HandedBackhand",(183cm),172,(1987.02.05)
jarmere-jenkins,"
","Right-Handed,Two-HandedBackhand",(183cm),170,(1990.11.25)
john-millman,2006,"Right-Handed,Two-HandedBackhand",(183cm),174,(1989.06.14)
victor-estrella-burgos,2002,"Right-Handed,One-HandedBackhand",(170cm),170,(1980.08.02)
marton-fucsovics,2010,"Right-Handed,Two-HandedBackhand",(188cm),181,(1992.02.08)
liam-broady,2014,"Left-Handed,Two-HandedBackhand",(183cm),172,(1994.01.04)
lleyton-hewitt,1998,"Right-Handed,Two-HandedBackhand",(178cm),170,(1981.02.24)
damir-dzumhur,2011,"Right-Handed,Two-HandedBackhand",(175cm),150,(1992.05.20)
roberto-bautista-agut,2005,"Right-Handed,Two-HandedBackhand",(183cm),165,(1988.04.14)
adrian-menendez-maceiras,2005,"Right-Handed,Two-HandedBackhand",(183cm),165,(1985.10.28)
borna-coric,2013,"Right-Handed,Two-HandedBackhand",(188cm),187,(1996.11.14)
roberto-carballes-baena,2011,"Right-Handed,Two-HandedBackhand",(183cm),170,(1993.03.23)
juan-martin-del-potro,2005,"Right-Handed,Two-HandedBackhand",(198cm),214,(1988.09.23)
jiri-vesely,2009,"Left-Handed,Two-HandedBackhand",(198cm),207,(1993.07.10)
taro-daniel,2010,"Right-Handed,Two-HandedBackhand",(191cm),185,(1993.01.27)
jimmy-wang,2001,"Right-Handed,Two-HandedBackhand",(180cm),162,(1985.02.08)
malek-jaziri,2003,"Right-Handed,Two-HandedBackhand",(185cm),182,(1984.01.20)
steve-johnson,2012,"Right-Handed,Two-HandedBackhand",(188cm),190,(1989.12.24)
dusan-lajovic,2007,"Right-Handed,One-HandedBackhand",(183cm),183,(1990.06.30)
aleksandr-nedovyesov,2005,"Right-Handed,Two-HandedBackhand",(188cm),176,(1987.02.15)
mikhail-kukushkin,2006,"Right-Handed,Two-HandedBackhand",(183cm),159,(1987.12.26)
pablo-cuevas,2004,"Right-Handed,One-HandedBackhand",(180cm),173,(1986.01.01)
pere-riba,2004,"Right-Handed,Two-HandedBackhand",(183cm),173,(1988.04.07)
rafael-nadal,2001,"Left-Handed,Two-HandedBackhand",(185cm),187,(1986.06.03)
edouard-roger-vasselin,2002,"Right-Handed,Two-HandedBackhand",(185cm),173,(1983.11.28)
kevin-anderson,2007,"Right-Handed,Two-HandedBackhand",(203cm),208,(1986.05.18)
andrey-kuznetsov,2008,"Right-Handed,Two-HandedBackhand",(183cm),154,(1991.02.22)
florian-mayer,2001,"Right-Handed,Two-HandedBackhand",(191cm),180,(1983.10.05)
santiago-giraldo,2004,"Right-Handed,Two-HandedBackhand",(188cm),166,(1987.11.27)
roger-federer,1998,"Right-Handed,One-HandedBackhand",(185cm),187,(1981.08.08)
jarkko-nieminen,2000,"Left-Handed,Two-HandedBackhand",(185cm),172,(1981.07.23)
albert-ramos-vinolas,2007,"Left-Handed,Two-HandedBackhand",(188cm),168,(1988.01.17)
gerald-melzer,2007,"Left-Handed,Two-HandedBackhand",(188cm),176,(1990.07.13)
marcos-baghdatis,2003,"Right-Handed,Two-HandedBackhand",(178cm),181,(1985.06.17)
david-goffin,2009,"Right-Handed,Two-HandedBackhand",(180cm),154,(1990.12.07)
stefano-travaglia,2008,"Right-Handed,Two-HandedBackhand",(185cm),176,(1991.12.28)
tobias-kamke,2004,"Right-Handed,Two-HandedBackhand",(178cm),167,(1986.05.21)
blaz-kavcic,2005,"Right-Handed,Two-HandedBackhand",(188cm),172,(1987.03.05)
jack-sock,2011,"Right-Handed,Two-HandedBackhand",(191cm),195,(1992.09.24)
federico-delbonis,2007,"Left-Handed,Two-HandedBackhand",(193cm),198,(1990.10.05)
bernard-tomic,2008,"Right-Handed,Two-HandedBackhand",(196cm),201,(1992.10.21)
tim-puetz,2011,"Right-Handed,Two-HandedBackhand",(185cm),171,(1987.11.19)
mate-delic,"
","Right-Handed,Two-HandedBackhand",(196cm),189,(1993.04.29)
peter-polansky,2007,"Right-Handed,Two-HandedBackhand",(183cm),176,(1988.06.15)
thomaz-bellucci,2005,"Left-Handed,Two-HandedBackhand",(188cm),181,(1987.12.30)
jeremy-chardy,2005,"Right-Handed,Two-HandedBackhand",(188cm),165,(1987.02.12)
sam-groth,2006,"Right-Handed,One-HandedBackhand",(193cm),220,(1987.10.19)
tatsuma-ito,2006,"Right-Handed,Two-HandedBackhand",(180cm),165,(1988.05.18)
benoit-paire,2007,"Right-Handed,Two-HandedBackhand",(196cm),176,(1989.05.08)
somdev-devvarman,2008,"Right-Handed,Two-HandedBackhand",(180cm),160,(1985.02.13)
gastao-elias,2008,"Right-Handed,Two-HandedBackhand",(180cm),167,(1990.11.24)
matthias-bachinger,2005,"Right-Handed,Two-HandedBackhand",(188cm),190,(1987.04.02)
marco-cecchinato,2010,"Right-Handed,One-HandedBackhand",(185cm),171,(1992.09.30)
michael-berrer,1999,"Left-Handed,One-HandedBackhand",(193cm),220,(1980.07.01)
farrukh-dustov,2003,"Right-Handed,UnknownBackhand",(193cm),194,(1986.05.22)
guillermo-garcia-lopez,2002,"Right-Handed,One-HandedBackhand",(185cm),176,(1983.06.04)
alex-bolt,2011,"Left-Handed,Two-HandedBackhand",(71cm),407,(1993.01.05)
david-guez,"
","Right-Handed,UnknownBackhand",(185cm),165,(1982.12.08)
marcel-granollers,2003,"Right-Handed,Two-HandedBackhand",(191cm),176,(1986.04.12)
maxime-authom,0,"Right-Handed,UnknownBackhand",(0cm),0,(1987.03.29)
elias-ymer,2014,"Right-Handed,Two-HandedBackhand",(185cm),171,(1996.04.10)
james-mcgee,"
","Right-Handed,Two-HandedBackhand",(183cm),176,(1987.06.10)
marius-copil,2008,"Right-Handed,One-HandedBackhand",(191cm),191,(1990.10.17)
niels-desein,2007,"Right-Handed,UnknownBackhand",(191cm),187,(1987.06.09)
daniel-munoz-de-la-nava,1999,"Left-Handed,Two-HandedBackhand",(175cm),165,(1982.01.29)
nicolas-jarry,2014,"Right-Handed,Two-HandedBackhand",(198cm),198,(1995.10.11)
marco-trungelliti,2008,"Right-Handed,Two-HandedBackhand",(178cm),176,(1990.01.31)
bjorn-fratangelo,2012,"Right-Handed,Two-HandedBackhand",(183cm),175,(1993.07.19)
jared-donaldson,2014,"Right-Handed,Two-HandedBackhand",(188cm),165,(1996.10.09)
renzo-olivo,2009,"Right-Handed,Two-HandedBackhand",(178cm),160,(1992.03.15)
mirza-basic,2012,"Right-Handed,Two-HandedBackhand",(188cm),193,(1991.07.12)
konstantin-kravchuk,2004,"Right-Handed,Two-HandedBackhand",(191cm),176,(1985.02.23)
guilherme-clezar,2009,"Right-Handed,Two-HandedBackhand",(180cm),169,(1992.12.31)
roberto-marcora,2009,"Right-Handed,One-HandedBackhand",(193cm),187,(1989.08.30)
aslan-karatsev,2011,"Right-Handed,Two-HandedBackhand",(185cm),187,(1993.09.04)
dennis-novikov,2013,"Right-Handed,Two-HandedBackhand",(193cm),200,(1993.11.06)
ruben-ramirez-hidalgo,1998,"Right-Handed,Two-HandedBackhand",(183cm),163,(1978.01.06)
ti-chen,2002,"Right-Handed,UnknownBackhand",(178cm),162,(1983.10.03)
thomas-fabbiano,2005,"Right-Handed,Two-HandedBackhand",(173cm),154,(1989.05.26)
filippo-volandri,1997,"Right-Handed,One-HandedBackhand",(183cm),161,(1981.09.05)
jason-jung,2011,"Right-Handed,Two-HandedBackhand",(180cm),152,(1989.06.15)
yuki-bhambri,2008,"Right-Handed,Two-HandedBackhand",(185cm),165,(1992.07.04)
inigo-cervantes,2009,"Right-Handed,Two-HandedBackhand",(180cm),171,(1989.11.30)
mathias-bourgue,"
","Right-Handed,Two-HandedBackhand",(188cm),183,(1994.01.18)
christian-lindell,"
","Right-Handed,Two-HandedBackhand",(193cm),191,(1991.11.20)
giovanni-lapentti,2002,"Right-Handed,Two-HandedBackhand",(193cm),201,(1983.01.25)
adam-pavlasek,2012,"Right-Handed,Two-HandedBackhand",(185cm),168,(1994.10.08)
jose-hernandez-fernandez,"
","Right-Handed,Two-HandedBackhand",(183cm),170,(1990.03.13)
matthew-ebden,2006,"Right-Handed,Two-HandedBackhand",(188cm),176,(1987.11.26)
saketh-myneni,2012,"Right-Handed,Two-HandedBackhand",(193cm),187,(1987.10.19)
brydan-klein,2007,"Right-Handed,Two-HandedBackhand",(188cm),183,(1989.12.31)
nicolas-kicker,2009,"Right-Handed,One-HandedBackhand",(178cm),165,(1992.08.16)
germain-gigounon,"
","Right-Handed,UnknownBackhand",(178cm),161,(1989.04.20)
laslo-djere,2013,"Right-Handed,Two-HandedBackhand",(188cm),181,(1995.06.02)
karen-khachanov,2013,"Right-Handed,Two-HandedBackhand",(198cm),192,(1996.05.21)
darian-king,2010,"Right-Handed,Two-HandedBackhand",(188cm),170,(1992.04.26)
daniel-nguyen,2013,"Right-Handed,Two-HandedBackhand",(173cm),160,(1990.10.16)
matteo-donati,2013,"Right-Handed,Two-HandedBackhand",(185cm),163,(1995.02.28)
uladzimir-ignatik,2007,"Right-Handed,UnknownBackhand",(183cm),181,(1990.07.14)
andrey-rublev,2014,"Right-Handed,Two-HandedBackhand",(188cm),165,(1997.10.20)
yannick-mertens,2006,"Right-Handed,Two-HandedBackhand",(185cm),156,(1987.06.25)
gianluca-naso,"
","Right-Handed,One-HandedBackhand",(193cm),198,(1987.01.06)
tristan-lamasine,2010,"Right-Handed,Two-HandedBackhand",(183cm),152,(1993.03.05)
oriol-roca-batalla,"
","Right-Handed,One-HandedBackhand",(175cm),165,(1993.04.30)
rogerio-dutra-silva,2003,"Right-Handed,One-HandedBackhand",(178cm),161,(1984.02.05)
calvin-hemery,2013,"Right-Handed,Two-HandedBackhand",(191cm),184,(1995.01.28)
jordan-thompson,2013,"Right-Handed,Two-HandedBackhand",(183cm),181,(1994.04.20)
alexander-sarkissian,2014,"Right-Handed,Two-HandedBackhand",(191cm),175,(1990.04.03)
pedro-cachin,2013,"Right-Handed,Two-HandedBackhand",(185cm),169,(1995.04.12)
daniel-brands,2005,"Right-Handed,One-HandedBackhand",(196cm),203,(1987.07.17)
quentin-halys,2012,"Right-Handed,Two-HandedBackhand",(191cm),187,(1996.10.26)
nils-langer,"
","Right-Handed,One-HandedBackhand",(193cm),170,(1990.01.25)
grega-zemlja,2004,"Right-Handed,Two-HandedBackhand",(183cm),179,(1986.09.29)
franko-skugor,"
","Right-Handed,Two-HandedBackhand",(196cm),211,(1987.09.20)
jan-mertl,2002,"Right-Handed,Two-HandedBackhand",(191cm),185,(1982.01.03)
mischa-zverev,2005,"Left-Handed,Two-HandedBackhand",(191cm),195,(1987.08.22)
frances-tiafoe,2015,"Right-Handed,Two-HandedBackhand",(188cm),190,(1998.01.20)
daniel-evans,2006,"Right-Handed,One-HandedBackhand",(175cm),165,(1990.05.23)
henri-laaksonen,2009,"Right-Handed,Two-HandedBackhand",(185cm),172,(1992.03.31)
dennis-novak,2011,"Right-Handed,Two-HandedBackhand",(183cm),178,(1993.08.28)
egor-gerasimov,2010,"Right-Handed,Two-HandedBackhand",(196cm),190,(1992.11.11)
taylor-fritz,2015,"Right-Handed,Two-HandedBackhand",(196cm),190,(1997.10.28)
aldin-setkic,"
","Right-Handed,Two-HandedBackhand",(191cm),189,(1987.12.21)
marco-chiudinelli,2000,"Right-Handed,Two-HandedBackhand",(185cm),187,(1981.09.10)
di-wu,2009,"Right-Handed,Two-HandedBackhand",(173cm),143,(1991.09.14)
yan-bai,"
","Right-Handed,Two-HandedBackhand",(185cm),176,(1989.05.21)
alessandro-giannessi,2008,"Left-Handed,Two-HandedBackhand",(185cm),180,(1990.05.30)
amir-weintraub,2005,"Right-Handed,One-HandedBackhand",(185cm),176,(1986.09.16)
noah-rubin,2015,"Right-Handed,Two-HandedBackhand",(175cm),155,(1996.02.21)
thiago-monteiro,2011,"Left-Handed,Two-HandedBackhand",(183cm),172,(1994.05.31)
tommy-paul,2015,"Right-Handed,Two-HandedBackhand",(185cm),180,(1997.05.17)
pedja-krstin,2012,"Right-Handed,Two-HandedBackhand",(183cm),176,(1994.09.03)
arthur-de-greef,2010,"Right-Handed,Two-HandedBackhand",(183cm),161,(1992.03.27)
gonzalo-lama,2011,"Right-Handed,Two-HandedBackhand",(180cm),181,(1993.04.27)
stefan-kozlov,2013,"Right-Handed,Two-HandedBackhand",(183cm),174,(1998.02.01)
ramkumar-ramanathan,2009,"Right-Handed,Two-HandedBackhand",(188cm),178,(1994.11.08)
marko-tepavac,"
","Right-Handed,Two-HandedBackhand",(193cm),198,(1994.04.05)
miljan-zekic,"
","Right-Handed,Two-HandedBackhand",(185cm),174,(1988.07.12)
steven-diez,2009,"Right-Handed,Two-HandedBackhand",(175cm),167,(1991.03.17)
duckhee-lee,2013,"Right-Handed,Two-HandedBackhand",(175cm),165,(1998.05.29)
matthew-barton,2009,"Right-Handed,Two-HandedBackhand",(191cm),187,(1991.12.18)
enrique-lopez-perez,2009,"Right-Handed,Two-HandedBackhand",(180cm),168,(1991.06.03)
gregoire-barrere,2012,"Right-Handed,Two-HandedBackhand",(183cm),176,(1994.02.16)
constant-lestienne,2012,"Right-Handed,Two-HandedBackhand",(180cm),170,(1992.05.23)
daniil-medvedev,2014,"Right-Handed,Two-HandedBackhand",(198cm),182,(1996.02.11)
ilya-ivashka,2013,"Right-Handed,Two-HandedBackhand",(193cm),191,(1994.02.24)
federico-gaio,2009,"Right-Handed,One-HandedBackhand",(178cm),187,(1992.03.05)
andrew-whittington,"
","Right-Handed,Two-HandedBackhand",(188cm),181,(1993.08.11)
marcelo-arevalo,2012,"Right-Handed,Two-HandedBackhand",(193cm),190,(1990.10.17)
jan-satral,2010,"Right-Handed,Two-HandedBackhand",(185cm),184,(1990.07.24)
ernesto-escobedo,2014,"Right-Handed,Two-HandedBackhand",(185cm),180,(1996.07.04)
maximilian-marterer,2015,"Left-Handed,Two-HandedBackhand",(188cm),171,(1995.06.15)
joris-de-loore,2011,"Right-Handed,Two-HandedBackhand",(191cm),190,(1993.04.21)
mohamed-safwat,2008,"Right-Handed,Two-HandedBackhand",(180cm),182,(1990.09.19)
janko-tipsarevic,2002,"Right-Handed,Two-HandedBackhand",(180cm),176,(1984.06.22)
pedro-sousa,2007,"Right-Handed,Two-HandedBackhand",(180cm),154,(1988.05.27)
lorenzo-giustino,2007,"Right-Handed,Two-HandedBackhand",(180cm),176,(1991.09.10)
stefanos-tsitsipas,2016,"Right-Handed,One-HandedBackhand",(193cm),198,(1998.08.12)
cristian-garin,2011,"Right-Handed,Two-HandedBackhand",(185cm),187,(1996.05.30)
